Site	Chr	Pos1	Pos2	Female	Male
C11.041B	11	123476044	123476090	2	2
C11.042A	11	126079460	126079505	2	2
C11.043A	11	128329315	128329358	2	2
C11.044A	11	130848693	130848737	2	2
C11.045A	11	132285168	132285213	2	2
C11.046A	11	133710552	133710597	2	2
C11.047A	11	134322690	134322866	2	2
C11.048A	11	134359580	134359730	2	2
C11.049A	11	134401450	134401493	2	2
C11.050A	11	134444167	134444212	2	2
C11.051A	11	134604970	134605016	2	2
C12.001A	12	432771	432812	2	2
C12.002A	12	1137375	1137424	2	2
C12.003A	12	1354114	1354160	2	2
C12.004A	12	1604917	1604966	2	2
C12.005A	12	2257998	2258042	2	2
C12.006A	12	2684259	2684304	2	2
C12.007A	12	3649872	3649915	2	2
C12.008A	12	6437329	6437372	2	2
C12.009A	12	11803934	11804234	2	2
C12.010A	12	15773813	15773859	2	2
C12.011A	12	20799767	20799810	2	2
C12.012B	12	21931783	21931830	2	2
C12.013B	12	23811449	23811496	2	2
C12.014B	12	23854661	23854709	2	2
C12.015B	12	23923089	23923133	2	2
C12.016B	12	24390755	24390803	2	2
C12.017A	12	34754897	34754937	2	2
C12.018A	12	38641011	38641057	2	2
C12.019B	12	65626685	65626736	2	2
C12.020B	12	66221802	66221848	2	2
C12.021B	12	66747196	66747242	2	2
C12.022B	12	67507084	67507126	2	2
C12.023B	12	70523573	70523621	2	2
C12.024B	12	70788047	70788095	2	2
C12.025B	12	70906996	70907044	2	2
C12.026B	12	70954554	70954599	2	2
C12.027B	12	71314318	71314363	2	2
C12.028B	12	80829474	80829519	2	2
C12.029B	12	80936553	80936598	2	2
C12.030B	12	81013164	81013208	2	2
C12.031B	12	81101585	81101629	2	2
C12.032B	12	81294973	81295016	2	2
C12.034B	12	122079842	122079882	2	2
C12.035B	12	122332565	122332607	2	2
C12.036B	12	122618430	122618473	2	2
C12.037B	12	122962416	122962461	2	2
C12.038B	12	132418004	132418048	2	2
C12.039B	12	132866659	132866700	2	2
C12.040B	12	133197588	133197632	2	2
C12.041B	12	133481365	133481405	2	2
C13.001B	13	20665582	20665625	2	2
C13.002B	13	20823823	20823866	2	2
C13.003B	13	20978130	20978172	2	2
C13.004B	13	21071166	21071211	2	2
C13.005B	13	21635906	21635953	2	2
C13.006B	13	21966838	21966883	2	2
C13.007B	13	32162228	32162275	2	2
C13.008B	13	32605534	32605575	2	2
C13.009B	13	32977186	32977235	2	2
C13.010B	13	33130142	33130190	2	2
C13.011B	13	33334774	33334821	2	2
C13.012B	13	45801499	45801548	2	2
C13.013B	13	47691920	47691968	2	2
C13.014B	13	48348595	48348641	2	2
C13.015B	13	48877914	48877961	2	2
C13.016B	13	51418040	51418081	2	2
C13.017B	13	83181753	83181801	2	2
C13.018B	13	84522086	84522133	2	2
C13.019B	13	84764316	84764364	2	2
C13.020B	13	85007834	85007882	2	2
C13.021B	13	85669484	85669528	2	2
C13.022B	13	94375566	94375615	2	2
C13.023B	13	95055620	95055664	2	2
C13.024B	13	95583978	95584021	2	2
C13.025B	13	96232984	96233031	2	2
C13.026B	13	97085446	97085491	2	2
C13.028A	13	109459043	109459089	2	2
C13.029A	13	111009814	111009858	2	2
C13.030A	13	112290174	112290221	2	2
C13.031A	13	113153159	113153202	2	2
C13.032A	13	113615974	113616015	2	2
C13.033A	13	113990966	113991009	2	2
C13.034A	13	114322177	114322218	2	2
C13.035A	13	114544377	114544419	2	2
C14.001A	14	21574805	21574851	2	2
C14.002A	14	21697784	21697833	2	2
C14.003A	14	21795779	21795825	2	2
C14.004A	14	21883886	21883929	2	2
C14.005A	14	21996913	21996959	2	2
C14.006A	14	30335002	30335051	2	2
C14.007B	14	36036461	36036505	2	2
C14.008B	14	36169374	36169421	2	2
C14.009B	14	36340631	36340678	2	2
C14.010B	14	36480515	36480557	2	2
C14.011B	14	36789680	36789725	2	2
C14.012A	14	37126916	37126956	2	2
C14.013A	14	41092996	41093044	2	2
C14.014B	14	52118664	52118705	2	2
C14.015B	14	52999586	52999630	2	2
C14.016B	14	53589047	53589090	2	2
C14.017B	14	54417317	54417358	2	2
C14.018B	14	79560166	79560214	2	2
C14.019B	14	79791301	79791349	2	2
C14.020B	14	79860534	79860582	2	2
C14.021B	14	79905454	79905500	2	2
C14.023B	14	95679599	95679641	2	2
C14.024B	14	96722543	96722588	2	2
C14.025B	14	97619772	97619820	2	2
C14.026B	14	98542901	98542945	2	2
C14.027B	14	99927550	99927599	2	2
C14.028B	14	101405191	101405239	2	2
C14.029A	14	104897912	104898112	2	2
C14.030A	14	105375741	105375785	2	2
C14.031A	14	106033975	106034016	2	2
C14.032A	14	106153701	106153741	2	2
C14.033A	14	106252730	106252775	2	2
C14.034A	14	106398075	106398120	2	2
C14.035A	14	106509825	106509872	2	2
C15.001A	15	23889282	23889324	2	2
C15.002A	15	24924363	24924406	2	2
C15.003A	15	25931122	25931164	2	2
C15.004A	15	26726233	26726282	2	2
C15.005A	15	27918053	27918097	2	2
C15.006A	15	31324078	31324920	2	2
C15.007A	15	31460682	31460729	2	2
C15.008A	15	31570595	31570639	2	2
C15.009A	15	31727148	31727197	2	2
C15.010A	15	31851189	31851230	2	2
C15.011A	15	32066389	32066431	2	2
C15.012A	15	32149039	32149080	2	2
C15.013A	15	32271149	32271191	2	2
C15.014A	15	32376176	32376222	2	2
C15.015A	15	32410665	32410711	2	2
C15.016A	15	32440440	32440485	2	2
C15.017B	15	36872001	36872041	2	2
C15.018B	15	37420649	37420692	2	2
C15.019B	15	38243550	38243599	2	2
C15.020B	15	38765741	38765787	2	2
C15.021B	15	39267485	39267525	2	2
C15.022B	15	74627382	74627428	2	2
C15.023B	15	75337227	75337271	2	2
C15.024B	15	75644990	75645034	2	2
C15.025B	15	75706577	75706625	2	2
C15.026B	15	83350209	83350252	2	2
C15.027B	15	83925003	83925051	2	2
C15.028B	15	84541289	84541336	2	2
C15.030A	15	98374415	98374462	2	2
C15.031A	15	99564883	99564929	2	2
C15.032A	15	100015431	100016077	2	2
C15.033A	15	100642826	100642869	2	2
C15.034A	15	101191553	101191600	2	2
C15.035A	15	101887270	101887317	2	2
C16.001A	16	495568	495613	2	2
C16.002A	16	595980	596021	2	2
C16.003A	16	695822	695868	2	2
C16.004A	16	796817	796857	2	2
C16.005A	16	1134937	1134982	2	2
C16.006A	16	1406708	1406748	2	2
C16.007A	16	1715084	1716000	2	2
C16.008A	16	3623467	3623515	2	2
C16.009A	16	3704456	3704498	2	2
C16.010B	16	3731103	3731147	2	2
C16.011B	16	3742119	3742166	2	2
C16.012B	16	3752215	3752260	2	2
C16.013A	16	3777143	3777186	2	2
C16.014A	16	3852683	3852732	2	2
C16.015A	16	3904573	3904617	2	2
C16.016A	16	3985359	3985402	2	2
C16.017B	16	6800121	6800165	2	2
C16.018B	16	6858527	6858576	2	2
C16.019B	16	6940948	6940997	2	2
C16.020B	16	7017362	7017407	2	2
C16.022A	16	15057818	15057934	2	2
C16.023A	16	15166722	15166766	2	2
C16.024A	16	15507525	15507574	2	2
C16.025A	16	15623634	15623682	2	2
C16.026A	16	15644149	15644192	2	2
C16.027A	16	15741109	15741154	2	2
C16.028A	16	15847274	15847318	2	2
C16.029A	16	15911493	15911543	2	2
C16.030A	16	16169623	16169666	2	2
C16.031A	16	16235196	16235242	2	2
C16.032A	16	17406934	17406976	2	2
C16.033A	16	21995515	21995558	2	2
C16.034A	16	22826377	22826420	2	2
C16.035A	16	24046739	24046780	2	2
C16.036A	16	25189464	25189511	2	2
C16.037A	16	26147171	26147216	2	2
C16.038A	16	27214878	27214917	2	2
C16.039A	16	28846059	28846101	2	2
C16.040A	16	28875567	28875608	2	2
C16.041A	16	28916053	28916092	2	2
C16.042A	16	28943373	28943417	2	2
C16.043A	16	29008389	29008431	2	2
C16.044A	16	29674322	29674364	2	2
C16.045A	16	29703000	29703413	2	2
C16.046A	16	29791589	29791632	2	2
C16.047A	16	29891312	29891355	2	2
C16.048B	16	29938189	29938232	2	2
C16.049A	16	29974854	29974895	2	2
C16.050B	16	30035816	30035858	2	2
C16.051A	16	30096125	30096169	2	2
C16.052B	16	30157260	30157306	2	2
C16.053A	16	35146871	35146923	2	2
C16.054A	16	48180439	48180485	2	2
C16.055A	16	50014244	50014287	2	2
C16.056A	16	50391544	50391585	2	2
C16.057A	16	50828283	50828327	2	2
C16.058A	16	51254168	51254215	2	2
C16.059A	16	51581903	51581952	2	2
C16.060A	16	52060303	52060343	2	2
C16.061B	16	66584186	66584230	2	2
C16.062B	16	66755761	66755807	2	2
C16.063B	16	67040663	67040710	2	2
C16.064B	16	67380212	67380260	2	2
C16.065B	16	67681200	67681250	2	2
C16.067B	16	83711831	83711875	2	2
C16.068B	16	83842045	83842086	2	2
C16.069B	16	84088134	84088177	2	2
C16.070B	16	84363268	84363315	2	2
C16.071B	16	84695678	84695719	2	2
C16.072A	16	85953529	85953570	2	2
C16.073A	16	86828223	86828268	2	2
C16.074A	16	87981889	87981935	2	2
C17.001A	17	136407	136450	2	2
C17.002A	17	417906	417949	2	2
C17.003B	17	902150	902194	2	2
C17.004A	17	1050066	1050109	2	2
C17.005B	17	1080406	1080454	2	2
C17.006B	17	1092265	1092311	2	2
C17.007B	17	1106502	1106542	2	2
C17.008A	17	1556842	1556891	2	2
C17.009A	17	1606627	1606671	2	2
C17.010A	17	1655957	1655998	2	2
C17.011A	17	1713495	1713542	2	2
C17.012A	17	1780541	1780584	2	2
C17.013A	17	1824327	1824370	2	2
C17.014A	17	1887239	1887283	2	2
C17.015A	17	1985134	1985175	2	2
C17.016A	17	2194791	2194834	2	2
C17.017A	17	2586021	2586067	2	2
C17.018B	17	7656091	7656135	2	2
C17.019B	17	7793887	7793932	2	2
C17.020B	17	7889841	7889888	2	2
C17.021B	17	8128572	8128615	2	2
C17.022A	17	14249295	14249337	2	2
C17.023A	17	14667192	14667235	2	2
C17.024A	17	15133228	15133272	2	2
C17.025A	17	15154309	15154752	2	2
C17.026A	17	15168630	15168676	2	2
C17.027A	17	15405970	15406018	2	2
C17.028A	17	16878282	16878328	2	2
C17.029A	17	17398080	17398123	2	2
C17.030B	17	17485622	17485664	2	2
C17.031B	17	17991327	17991374	2	2
C17.032B	17	18047066	18047105	2	2
C17.033A	17	18111932	18111975	2	2
C17.034B	17	18156650	18156692	2	2
C17.035B	17	18193595	18193643	2	2
C17.036A	17	18761462	18761504	2	2
C17.037A	17	19619750	19619794	2	2
C17.038A	17	19700758	19700801	2	2
C17.039A	17	19727404	19727451	2	2
C17.040A	17	29159152	29159194	2	2
C17.041A	17	29422423	29422463	2	2
C17.042A	17	29576055	29576101	2	2
C17.043A	17	29665048	29665097	2	2
C17.044A	17	29865214	29865261	2	2
C17.045A	17	30179949	30179993	2	2
C17.046A	17	34956912	34956953	2	2
C17.047A	17	35442282	35442330	2	2
C17.048A	17	35722387	35722431	2	2
C17.049A	17	36046495	36046538	2	2
C17.050A	17	36076637	36076681	2	2
C17.051A	17	36099575	36099620	2	2
C17.052A	17	43785207	43785251	2	2
C17.053A	17	43865017	43865065	2	2
C17.054A	17	43972594	43972636	2	2
C17.055A	17	44017190	44018190	2	2
C17.056A	17	44205570	44205614	2	2
C17.057A	17	44270150	44270592	2	2
C17.058A	17	61082335	61082378	2	2
C17.060B	17	78789316	78789360	2	2
C17.061B	17	80038402	80038443	2	2
C17.062B	17	80390309	80390350	2	2
C17.063B	17	81044318	81044362	2	2
C18.001A	18	158956	159002	2	2
C18.002A	18	180282	180330	2	2
C18.003A	18	225783	225829	2	2
C18.004A	18	251400	251448	2	2
C18.005A	18	274185	274230	2	2
C18.006A	18	732549	732596	2	2
C18.007A	18	1219712	1219759	2	2
C18.008A	18	1707549	1707592	2	2
C18.009A	18	2892231	2892275	2	2
C18.010A	18	3496226	3496700	2	2
C18.011A	18	5144351	5144398	2	2
C18.012A	18	6522009	6522056	2	2
C18.013A	18	7909833	7909881	2	2
C18.014A	18	9400459	9400503	2	2
C18.015A	18	12155483	12155524	2	2
C18.016A	18	13387718	13387761	2	2
C18.017A	18	18544758	18544807	2	2
C18.018B	18	35857930	35857977	2	2
C18.019B	18	36382392	36382438	2	2
C18.020B	18	37066864	37066913	2	2
C18.021B	18	37662190	37662233	2	2
C18.022B	18	38417404	38417447	2	2
C18.023B	18	41869833	41869880	2	2
C18.024B	18	43207002	43207045	2	2
C18.025B	18	43422429	43422473	2	2
C18.026B	18	43619953	43619998	2	2
C18.027B	18	44085922	44085965	2	2
C18.028B	18	52981438	52981484	2	2
C18.029B	18	53007247	53007295	2	2
C18.030B	18	53089477	53089523	2	2
C18.031B	18	53140428	53140474	2	2
C18.032B	18	53191948	53191990	2	2
C18.034A	18	63205000	63205500	2	2
C18.035A	18	65179923	65179970	2	2
C18.036A	18	66344362	66344406	2	2
C18.037A	18	67957850	67958050	2	2
C18.038A	18	70410500	70410860	2	2
C18.039A	18	72997477	72997996	2	2
C18.040A	18	74178970	74179015	2	2
C18.041A	18	75055097	75055145	2	2
C18.042A	18	75852113	75852157	2	2
C18.043A	18	77005200	77005500	2	2
C18.044A	18	77733393	77733439	2	2
C18.045A	18	77806516	77806556	2	2
C18.046A	18	77868107	77868507	2	2
C18.047A	18	77915491	77915534	2	2
C18.048A	18	77981673	77981715	2	2
C19.001B	19	1014205	1014251	2	2
C19.002B	19	1194495	1194534	2	2
C19.003B	19	1207165	1207206	2	2
C19.004B	19	1228428	1228467	2	2
C19.005B	19	1271170	1271214	2	2
C19.006A	19	4046120	4046335	2	2
C19.007A	19	4075274	4075514	2	2
C19.008A	19	4078649	4078692	2	2
C19.009A	19	4095091	4095133	2	2
C19.010A	19	4268929	4268971	2	2
C19.011A	19	4498829	4498872	2	2
C19.012A	19	4748148	4748191	2	2
C19.013A	19	13033295	13033338	2	2
C19.014A	19	13084514	13084558	2	2
C19.015A	19	13184232	13184277	2	2
C19.016A	19	13282936	13282980	2	2
C19.017A	19	13345733	13345775	2	2
C19.018A	19	13424848	13424892	2	2
C19.019A	19	24229095	24229144	2	2
C19.020A	19	28265649	28265704	2	2
C19.021B	19	31765915	31765960	2	2
C19.022B	19	33597609	33597656	2	2
C19.023B	19	35447682	35447725	2	2
C19.024B	19	37854739	37854784	2	2
C19.026B	19	56019924	56019967	2	2
C19.027B	19	56981870	56981916	2	2
C19.028B	19	57120560	57120606	2	2
C19.029B	19	57481294	57481342	2	2
C19.030B	19	57946726	57946774	2	2
C20.001A	20	80185	80228	2	2
C20.002A	20	123262	123310	2	2
C20.003A	20	199673	199721	2	2
C20.004A	20	244807	244853	2	2
C20.005A	20	307543	307588	2	2
C20.006A	20	594140	594183	2	2
C20.007A	20	825337	825376	2	2
C20.008A	20	1147105	1147151	2	2
C20.009B	20	7222318	7222366	2	2
C20.010B	20	7549239	7549285	2	2
C20.011B	20	8113013	8113052	2	2
C20.012B	20	8582674	8582720	2	2
C20.013B	20	10864848	10864895	2	2
C20.014B	20	13491572	13491619	2	2
C20.015B	20	14318285	14318331	2	2
C20.016B	20	16828392	16828441	2	2
C20.017A	20	25732636	25732684	2	2
C20.018A	20	29844930	29844982	2	2
C20.019B	20	33293158	33293202	2	2
C20.020B	20	33703250	33703295	2	2
C20.021B	20	33859484	33859528	2	2
C20.022B	20	33981567	33981616	2	2
C20.023B	20	34430551	34430594	2	2
C20.025B	20	48787469	48787512	2	2
C20.026B	20	49455543	49455586	2	2
C20.027B	20	49626830	49626874	2	2
C20.028B	20	49735818	49735861	2	2
C20.029B	20	50012035	50012078	2	2
C20.030A	20	58301569	58301612	2	2
C20.031A	20	61432304	61432346	2	2
C20.033A	20	62080193	62080236	2	2
C20.034A	20	62095943	62095985	2	2
C20.035A	20	62120000	62120300	2	2
C20.036A	20	62149611	62149655	2	2
C20.037A	20	62376668	62376968	2	2
C20.038A	20	62643052	62643095	2	2
C21.001B	21	15843921	15843970	2	2
C21.002B	21	16906059	16906104	2	2
C21.003B	21	17476135	17476181	2	2
C21.004B	21	17943380	17943426	2	2
C21.005B	21	18296047	18296093	2	2
C21.006B	21	19207970	19208017	2	2
C21.007B	21	25400461	25400509	2	2
C21.008B	21	25669674	25669723	2	2
C21.009B	21	25740240	25740287	2	2
C21.010B	21	25816327	25816373	2	2
C21.011B	21	26408324	26408370	2	2
C21.012B	21	39427006	39427052	2	2
C21.013B	21	39670108	39670151	2	2
C21.014B	21	39897597	39897640	2	2
C21.015B	21	40219155	40219200	2	2
C21.016A	21	44180501	44180543	2	2
C21.017A	21	44969884	44970364	2	2
C21.018A	21	45848740	45848786	2	2
C21.019A	21	46795329	46795369	2	2
C21.020A	21	47033590	47033790	2	2
C21.021A	21	47279035	47279077	2	2
C21.022A	21	47609600	47609641	2	2
C21.023A	21	47865495	47865537	2	2
C22.001A	22	17466043	17466090	2	2
C22.002A	22	17770266	17770315	2	2
C22.003A	22	18031485	18032100	2	2
C22.004A	22	18243525	18243567	2	2
C22.005A	22	18466344	18466392	2	2
C22.006A	22	19124024	19124067	2	2
C22.007A	22	19745034	19745250	2	2
C22.008A	22	19758099	19758139	2	2
C22.009A	22	19766646	19766694	2	2
C22.010A	22	20094119	20094163	2	2
C22.011A	22	20748457	20748498	2	2
C22.012A	22	21098944	21098987	2	2
C22.013A	22	21153673	21153718	2	2
C22.014A	22	21212897	21212936	2	2
C22.015A	22	21269810	21269858	2	2
C22.016A	22	21335500	21335539	2	2
C22.017A	22	21366404	21366452	2	2
C22.018A	22	21411092	21411321	2	2
C22.019A	22	21976297	21976340	2	2
C22.020A	22	22343122	22343166	2	2
C22.021A	22	22518530	22519000	2	2
C22.022A	22	22536619	22536659	2	2
C22.023B	22	22763784	22763831	2	2
C22.024B	22	22839235	22839284	2	2
C22.025B	22	23022042	23022087	2	2
C22.026A	22	23210436	23210483	2	2
C22.027B	22	23315479	23315530	2	2
C22.028B	22	23420948	23420992	2	2
C22.029B	22	23511252	23511297	2	2
C22.030A	22	23635392	23635434	2	2
C22.031A	22	24106281	24106321	2	2
C22.032B	22	28144785	28144830	2	2
C22.033B	22	31328370	31328416	2	2
C22.034B	22	39003433	39003478	2	2
C22.035B	22	40859404	40859449	2	2
C22.036B	22	42767248	42767290	2	2
C22.037B	22	44892363	44892404	2	2
C22.038A	22	47990810	47990855	2	2
C22.039A	22	49301535	49301735	2	2
C22.040A	22	50627936	50627977	2	2
C22.041A	22	50832430	50832476	2	2
C22.042A	22	50928453	50928498	2	2
C22.043A	22	51061327	51061374	2	2
C22.044A	22	51127187	51127228	2	2
C22.045A	22	51140581	51140622	2	2
C22.046A	22	51148739	51148781	2	2
C22.047A	22	51154296	51154342	2	2
C23.001A	X	591774	591813	2	2
C23.002A	X	595368	595407	2	2
C23.003A	X	601730	601770	2	2
C23.004A	X	682004	682052	2	2
C23.005A	X	811390	811434	2	2
C23.006A	X	817291	817344	2	2
C23.007A	X	823147	823192	2	2
C23.008A	X	838559	838603	2	2
C23.009A	X	846100	846143	2	2
C23.010B	X	2931083	2931127	2	1
C23.011B	X	3012138	3012182	2	1
C23.012B	X	3120517	3120565	2	1
C23.013B	X	3248508	3248557	2	1
C23.014B	X	3345140	3345187	2	1
C23.015A	X	6456244	6456288	2	1
C23.016B	X	6724148	6724194	2	1
C23.017B	X	6757247	6757293	2	1
C23.018B	X	6764550	6764595	2	1
C23.019B	X	6774667	6774713	2	1
C23.020A	X	7151842	7151885	2	1
C23.021A	X	7368824	7368868	2	1
C23.022A	X	7698923	7698971	2	1
C23.023A	X	7867808	7867853	2	1
C23.024B	X	8530404	8530455	2	1
C23.025B	X	9035829	9035871	2	1
C23.026B	X	9159947	9159989	2	1
C23.027B	X	9275150	9275198	2	1
C23.029B	X	18669433	18669485	2	1
C23.030B	X	18683248	18683290	2	1
C23.031B	X	18700415	18700456	2	1
C23.032B	X	18764036	18764084	2	1
C23.033B	X	31763407	31763449	2	1
C23.034B	X	31787994	31788041	2	1
C23.035B	X	31812450	31812495	2	1
C23.036B	X	31850596	31850645	2	1
C23.037B	X	32242847	32242893	2	1
C23.038B	X	32299019	32299065	2	1
C23.039B	X	32325079	32325125	2	1
C23.040B	X	32356872	32356919	2	1
C23.041B	X	32680611	32680660	2	1
C23.042B	X	32721135	32721177	2	1
C23.043B	X	32761849	32761897	2	1
C23.044B	X	41401991	41402034	2	1
C23.045B	X	41586838	41586884	2	1
C23.046B	X	41714600	41714646	2	1
C23.047A	X	48316953	48316997	2	1
C23.048A	X	48979090	48979129	2	1
C23.049A	X	49956999	49957040	2	1
C23.050A	X	51079149	51079197	2	1
C23.051A	X	52001165	52001212	2	1
C23.052A	X	53431994	53432036	2	1
C23.053A	X	53559921	53559970	2	1
C23.054B	X	53585675	53585718	2	1
C23.055B	X	53611259	53611305	2	1
C23.056A	X	53642720	53642765	2	1
C23.057A	X	53707013	53707057	2	1
C23.058A	X	53846658	53846704	2	1
C23.059A	X	58081176	58081222	2	1
C23.060B	X	66960969	66961018	2	1
C23.061B	X	67283874	67283914	2	1
C23.062B	X	67412768	67412811	2	1
C23.063B	X	67515815	67515858	2	1
C23.064B	X	81022032	81022077	2	1
C23.065B	X	81546978	81547026	2	1
C23.066B	X	82322906	82322952	2	1
C23.067B	X	83116155	83116200	2	1
C23.068B	X	84344520	84344568	2	1
C23.069A	X	94251745	94251794	2	1
C23.070A	X	96854820	96854867	2	1
C23.071A	X	99883433	99883482	2	1
C23.072A	X	102674166	102674215	2	1
C23.073A	X	102884987	102885029	2	1
C23.074A	X	102965909	102965952	2	1
C23.075A	X	103031524	103031567	2	1
C23.076A	X	103041488	103041531	2	1
C23.077A	X	103045578	103045623	2	1
C23.078A	X	103222592	103222637	2	1
C23.080B	X	139399798	139399841	2	1
C23.081B	X	139513280	139513325	2	1
C23.082B	X	139600737	139600782	2	1
C23.083B	X	139732334	139732382	2	1
C23.084B	X	139766549	139766594	2	1
C23.086A	X	153137657	153137700	2	1
C23.087A	X	153289500	153289760	2	1
C23.088A	X	153303205	153303248	2	1
C23.089A	X	153325289	153325331	2	1
C23.090A	X	153357691	153357738	2	1
C23.091A	X	153523379	153523422	2	1
C23.092B	X	153576985	153577027	2	1
C23.093B	X	153940643	153940690	2	1
C23.094B	X	154213037	154213084	2	1
C23.095B	X	154275274	154275322	2	1
C23.096B	X	154305090	154305139	2	1
C23.097B	X	154445678	154445722	2	1
C24.001B	Y	2088466	2088511	0	1
C24.002B	Y	2655427	2655466	0	1
C24.003B	Y	2734279	2734327	0	1
C24.004B	Y	2803627	2803668	0	1
C24.005B	Y	2838497	2838543	0	1
C24.006B	Y	3447115	3447167	0	1
C24.007B	Y	5424340	5424398	0	1
C24.008B	Y	6899258	6899307	0	1
C24.009B	Y	8590176	8590222	0	1
C24.010A	Y	14607424	14607468	0	1
C24.011A	Y	14790182	14790227	0	1
C24.012A	Y	14821385	14821429	0	1
C24.013A	Y	15016719	15016760	0	1
C24.014A	Y	19357389	19357439	0	1
C24.015A	Y	21153871	21153934	0	1
C24.016A	Y	21868114	21868070	0	1
C24.017A	Y	22923225	22923276	0	1
C24.018A	Y	23545443	23545401	0	1
C24.019A	Y	24523602	24523668	0	1
C24.020A	Y	24875782	24875711	0	1
C24.021A	Y	25276257	25276207	0	4
C24.022A	Y	25341856	25341814	0	4
C24.023A	Y	26191389	26191327	0	4
C24.024A	Y	28789286	28789429	0	1
chr1_q21M	1	229210488	229210536	2	2
chr10_p20M	10	20232009	20232063	2	2
chr10_q21M	10	115430966	115431017	2	2
chr11_p20M	11	20210061	20210250	2	2
chr11_p2M	11	192237	192285	2	2
chr11_q20M	11	114942473	114942518	2	2
chr12_q0M	12	133816916	133816957	2	2
chr12_q10M	12	123814281	123814335	2	2
chr12_q20M	12	113811833	113811886	2	2
chr13_Cq10M	13	29506638	29506686	2	2
chr13_Cq2M	13	19809445	19809487	2	2
chr13_q20M	13	95071016	95071068	2	2
chr14_q20M	14	87254141	87254192	2	2
chr15_q21M	15	82379745	82379957	2	2
chr16_q20M	16	69976402	69976451	2	2
chr17_q0M	17	81152030	81152083	2	2
chr17_q10M	17	71151937	71151978	2	2
chr19_q0M	19	59096719	59096763	2	2
chr19_q10M	19	49095064	49095113	2	2
chr2_Cq6M	2	95626922	95626971	2	2
chr2_p20M	2	20035234	20035285	2	2
chr2_q20M	2	223033728	223033783	2	2
chr20_q20M	20	42909647	42909694	2	2
chr21_Cq(_3M)	21	15480220	15480270	2	2
chr21_Cq7M	21	25484162	25484215	2	2
chr21_q20M	21	28089857	28089903	2	2
chr3_p20M	3	20106024	20106074	2	2
chr4_q10M	4	180788717	180788762	2	2
chr4_q20M	4	170787769	170787818	2	2
chr6_p20M	6	20204532	20204748	2	2
chr6_q20M	6	150863821	150863866	2	2
chr8_q10M	8	136292622	136292670	2	2
chr8_q20M	8	126290755	126290805	2	2
chr8_q6M	8	139821396	139821436	2	2
chr9_q20M	9	121008476	121008525	2	2
chrX_q23M	X	131895601	131895646	2	1
chrY_p3M	Y	2654617	2654672	0	1
EoAd_q1m	21	27253916	27253964	2	2
EoAd_q2m	21	27374996	27375038	2	2
EoAd_q3m	21	27447760	27447822	2	2
EoAd_q4m	21	27479110	27479160	2	2
FAP-01	5	112062900	112062955	2	2
FAP-02	5	112092807	112092865	2	2
FAP-03	5	112121457	112121514	2	2
FAP-04	5	112157589	112157635	2	2
xq28_q0m	X	153629388	153629439	2	1
xq28_q1m	X	153671889	153671942	2	1
xq28_q2m	X	153737083	153737132	2	1
xq28_q3m	X	153821054	153821107	2	1
